Validation ppl,Baseline,Prenorm,Postnorm
500,36.7371,36.7371,36.7371
1000,26.8323,26.8323,26.8323
1500,22.725,22.725,22.725
2000,20.6885,20.6885,20.6885
2500,19.0923,19.0923,19.0923
3000,17.8984,17.8984,17.8984
3500,17.2346,17.2346,17.2346
4000,16.2702,16.2702,16.2702
4500,15.4719,15.4719,15.4719
5000,14.5493,14.5493,14.5493
5500,13.5227,13.5227,13.5227
6000,12.4982,12.4982,12.4982
6500,11.7911,11.7911,11.7911
7000,11.1716,11.1716,11.1716
7500,10.7728,10.7728,10.7728
8000,10.4022,10.4022,10.4022
8500,10.2219,10.2219,10.2219
9000,10.1277,10.1277,10.1277
9500,9.9187,9.9187,9.9187
10000,9.7295,9.7295,9.7295
10500,9.6303,9.6303,9.6303
11000,9.4011,9.4011,9.4011
11500,9.2904,9.2904,9.2904
12000,9.2145,9.2145,9.2145
12500,9.0945,9.0945,9.0945
13000,8.9445,8.9445,8.9445
13500,8.9653,8.9653,8.9653
14000,8.859,8.859,8.859
14500,8.7577,8.7577,8.7577
15000,8.6679,8.6679,8.6679
15500,8.5959,8.5959,8.5959
16000,8.4875,8.4875,8.4875
16500,8.4442,8.4442,8.4442
17000,8.3749,8.3749,8.3749
17500,8.3592,8.3592,8.3592
18000,8.372,8.372,8.372
18500,8.2899,8.2899,8.2899
19000,8.1881,8.1881,8.1881
19500,8.2098,8.2098,8.2098
20000,8.0622,8.0622,8.0622
20500,8.0693,8.0693,8.0693
21000,8.055,8.055,8.055
21500,8.0836,8.0836,8.0836
22000,8.1184,8.1184,8.1184
22500,8.0732,8.0732,8.0732
23000,7.9452,7.9452,7.9452
23500,7.8921,7.8921,7.8921
24000,7.9157,7.9157,7.9157
24500,8.0198,8.0198,8.0198
25000,7.79,7.79,7.79
25500,7.8245,7.8245,7.8245
26000,7.8685,7.8685,7.8685
26500,7.8404,7.8404,7.8404
27000,7.7621,7.7621,7.7621
27500,7.839,7.839,7.839
28000,7.7533,7.7533,7.7533
28500,7.7215,7.7215,7.7215
29000,7.7258,7.7258,7.7258
29500,7.6255,7.6255,7.6255
30000,7.7008,7.7008,7.7008
30500,7.6806,7.6806,7.6806
31000,7.6877,7.6877,7.6877
31500,7.5777,7.5777,7.5777
32000,7.5558,7.5558,7.5558
32500,7.5759,7.5759,7.5759
33000,7.5453,7.5453,7.5453
33500,7.5599,7.5599,7.5599
34000,7.5091,7.5091,7.5091
34500,7.6268,7.6268,7.6268
35000,7.5508,7.5508,7.5508
35500,7.5086,7.5086,7.5086
36000,7.523,7.523,7.523
36500,7.4811,7.4811,7.4811
37000,7.3686,7.3686,7.3686
37500,7.3739,7.3739,7.3739
38000,7.4073,7.4073,7.4073
38500,7.4357,7.4357,7.4357
39000,7.4363,7.4363,7.4363
39500,7.4685,7.4685,7.4685
40000,7.4433,7.4433,7.4433
40500,7.3968,7.3968,7.3968
41000,7.3817,7.3817,7.3817
41500,7.322,7.322,7.322
42000,7.4454,7.4454,7.4454
